"Tracking Number","Transaction Date","Type","System","Service Code","Published Charge","Incentive Charge","Net Charge","Ref No 1","Ref No 2"
"1ZR4R3463597888933","Dec 17, 2021","Outbound","Shipping API","2nd Day Air Residential","$41.26","-$13.28","$27.98","3134368 - Regular Shape Pillow- Fea",""
"1ZR4R346YT92632070","Dec 10, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.29","-$3.46","$13.83","3133573",""
"1ZR4R346YW90004621","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3133733",""
"1ZR4R346YW90008850","Dec 09, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.42","-$2.89","$11.53","3133450",""
"1ZR4R346YW90026321","Dec 09, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.29","-$3.46","$13.83","3133441",""
"1ZR4R346YW90039273","Dec 09, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.44","-$3.16","$15.28","3133377",""
"1ZR4R346YW90068769","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.29","-$3.46","$13.83","3133931",""
"1ZR4R346YW90078374","Dec 09, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.48","-$3.30","$13.18","3133424",""
"1ZR4R346YW90094981","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.20","-$3.59","$17.61","3134079",""
"1ZR4R346YW90102917","Dec 07, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.38","-$3.87","$15.51","3133234",""
"1ZR4R346YW90132500","Dec 10, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.48","-$3.30","$13.18","3133565",""
"1ZR4R346YW90160882","Dec 16, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.48","-$2.79","$13.69","3134295",""
"1ZR4R346YW90166733","Dec 07, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.23","-$3.33","$15.90","3133244",""
"1ZR4R346YW90170200","Dec 08, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.33","-$3.21","$16.12","3133253",""
"1ZR4R346YW90177954","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.83","-$3.16","$12.67","3134083",""
"1ZR4R346YW90190331","Dec 15, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.91","-$2.98","$11.93","3134192",""
"1ZR4R346YW90192848","Dec 10, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.38","-$3.87","$15.51","3133485",""
"1ZR4R346YW90201640","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.66","-$3.87","$18.79","3133726",""
"1ZR4R346YW90207493","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3133613",""
"1ZR4R346YW90218543","Dec 07, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.23","-$3.33","$15.90","3133241",""
"1ZR4R346YW90228318","Dec 15, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3134123",""
"1ZR4R346YW90238469","Dec 10, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","3133577",""
"1ZR4R346YW90262727","Dec 10, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.76","-$3.50","$17.26","3133527",""
"1ZR4R346YW90333945","Dec 10, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.33","-$3.21","$16.12","3133554",""
"1ZR4R346YW90346066","Dec 10, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","3133548",""
"1ZR4R346YW90383203","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.01","-$3.20","$12.81","3134060",""
"1ZR4R346YW90414849","Dec 15, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.93","-$3.59","$14.34","3134158",""
"1ZR4R346YW90458552","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.59","-$3.01","$14.58","3133652",""
"1ZR4R346YW90462994","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","3134028",""
"1ZR4R346YW90468121","Dec 09, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.42","-$2.89","$11.53","3133378",""
"1ZR4R346YW90523070","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.83","-$3.16","$12.67","3134003",""
"1ZR4R346YW90555876","Dec 15, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.41","-$3.43","$16.98","3134175",""
"1ZR4R346YW90579163","Dec 10, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","3133516",""
"1ZR4R346YW90606954","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3133672",""
"1ZR4R346YW90609344","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.48","-$3.30","$13.18","3133922",""
"1ZR4R346YW90617228","Dec 09, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.29","-$3.46","$13.83","3133394",""
"1ZR4R346YW90619815","Dec 07, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.23","-$3.33","$15.90","3133149",""
"1ZR4R346YW90624041","Dec 08, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","3133323",""
"1ZR4R346YW90624523","Dec 09, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.99","-$3.87","$18.12","3133460",""
"1ZR4R346YW90672098","Dec 08, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.76","-$3.30","$16.46","3133325",""
"1ZR4R346YW90681819","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.90","-$3.46","$16.44","3133787",""
"1ZR4R346YW90686421","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.10","-$3.16","$15.94","3133777",""
"1ZR4R346YW90695233","Dec 15, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","3134117",""
"1ZR4R346YW90697311","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","3134008",""
"1ZR4R346YW90741076","Dec 08, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.29","-$3.46","$13.83","3133332",""
"1ZR4R346YW90742235","Dec 08, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.62","-$3.33","$13.29","3133326",""
"1ZR4R346YW90744359","Dec 10, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.89","-$3.33","$16.56","3133555",""
"1ZR4R346YW90759281","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.44","-$3.16","$15.28","3134011",""
"1ZR4R346YW90772962","Dec 09, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3133452",""
"1ZR4R346YW90812838","Dec 10, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3133473",""
"1ZR4R346YW90827573","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.38","-$3.87","$15.51","3133668",""
"1ZR4R346YW90840549","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.38","-$3.87","$15.51","3133673",""
"1ZR4R346YW90843439","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.47","-$3.10","$12.37","3133735",""
"1ZR4R346YW90859860","Dec 09, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.47","-$3.10","$12.37","3133446",""
"1ZR4R346YW90892805","Dec 09, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.90","-$3.46","$16.44","3133410",""
