Tracking Number,Transaction Date,Service Code,Published Charge,Incentive Charge,Net Charge,Ref No 1,Billed Weight,Package Quantity,Zone,Receiver City,Receiver State,Receiver Postal,Detail Keyed Dim,Total Cost,Adjustment
1ZR4R346YW90252103,2022-03-03,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140386,6.0,1,5.0,Pismo Beach,CA,93449,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW99791087,2022-03-03,UPS SurePost - 1 LB or Greater,16.41,-3.28,13.13,3140374,4.0,1,5.0,WEST HILLS,CA,91304,14.0x 14.0x  4.0,13.13,0.0
1ZR4R346YW99730875,2022-03-03,UPS SurePost - 1 LB or Greater,16.69,-2.57,14.12,3140369,4.0,1,2.0,Golden,CO,80403,14.0x 14.0x  4.0,14.12,0.0
1ZR4R346YW92795710,2022-03-02,UPS SurePost - 1 LB or Greater,18.82,-2.99,15.83,3140278,3.0,1,4.0,Phoenix,AZ,85339,14.0x  8.0x  6.0,15.83,0.0
1ZR4R346YW95140199,2022-03-02,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140288,6.0,1,5.0,Franklin,TN,37064,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW99485248,2022-03-02,UPS SurePost - 1 LB or Greater,18.75,-3.74,15.01,3140277,6.0,1,7.0,Falls Church,VA,22041,15.0x 15.0x  6.0,15.01,0.0
1ZR4R346YW95546519,2022-03-02,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140310,6.0,1,5.0,Yucaipa,CA,92399,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW95546475,2022-03-02,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140268,6.0,1,5.0,AUSTIN,TX,78754,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW99414887,2022-03-02,UPS SurePost - 1 LB or Greater,18.38,-3.69,14.69,3140305,9.0,1,5.0,Dallas,TX,75231,15.0x 15.0x 10.0,14.69,0.0
1ZR4R346YW95165341,2022-03-02,UPS SurePost - 1 LB or Greater,17.15,-3.43,13.72,3140276,9.0,1,4.0,Paradise Valley,AZ,85253,15.0x 15.0x 10.0,13.72,0.0
1ZR4R346YW95160293,2022-03-02,UPS SurePost - 1 LB or Greater,20.8,-4.16,16.64,3140299,9.0,1,7.0,Stuart,FL,34996,15.0x 15.0x 10.0,16.64,0.0
1ZR4R346YW94943707,2022-03-02,UPS SurePost - 1 LB or Greater,14.54,-2.92,11.62,3140285,2.0,1,5.0,Dubuque,IA,52002,14.0x  8.0x  4.0,11.620000000000001,0.0
1ZR4R346YW99297737,2022-03-02,UPS SurePost - 1 LB or Greater,21.03,-3.44,17.59,3140298,6.0,1,5.0,Alto,MI,49302,15.0x 15.0x  6.0,17.59,0.0
1ZR4R346YW98046803,2022-03-02,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140286,6.0,1,5.0,Hendersonville,TN,37075,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW94495344,2022-03-02,UPS SurePost - 1 LB or Greater,16.41,-3.28,13.13,3140316,4.0,1,5.0,FREMONT,CA,94536,14.0x 14.0x  4.0,13.13,0.0
1ZR4R346YW98440092,2022-03-02,UPS SurePost - 1 LB or Greater,18.48,-2.93,15.55,3140315,6.0,1,3.0,Durango,CO,81303,15.0x 15.0x  6.0,15.55,0.0
